They do to!	They do not!
No, I'd like the scarf.	Have a Mac.
Have a Mac.	I don't eat junk food.
You're a fast mover.	No name? That's ok. I'll just call you Big Pink.
How can I ever thank you?	I'd like to squeeze your titties.
That one's for you.	Thanks... I'll take it tonight.
Thanks... I'll take it tonight.	I can't. After the show.
So shut up and keep painting..	What time is it?
Tony Bennett... What do you mean?	Singing on stage and painting in your spare time.
Singing on stage and painting in your spare time.	I didn't know Tony Bennett painted.
I didn't know Tony Bennett painted.	My point exactly.
You don't have any!!!	That's impossible. I've got, like, five of 'em!
I just don't think you're being fair.	I need this?
I need this?	I need this?
YO! Jean, this is Ramellzee.	Yo... You know why Rammellzee's here, don't you?
I guess this mean we won.	Yes, I suppose that we did.
"Ah.  ""Who"", may I ask, are you going ""as""?"	You'll never guess.
"""Affair"" ... yes, maybe ... if she ..."	I think I'll take the stairs.
I suppose you feel better now, sir.	No, actually I feel worse.
It's vichyssoise, sir.	Vichyssoise.  Supposed to be cold, right?
Hanging on every word.	Good joke.  Wanna hear another one?
How could you?  I'm a woman...	I'm -- sorry, I --
Where's the fire?	"""Shreck's.""  You --"
Better than you know, Bat-boy.	What're you really after?
Y'mean take off our costumes?	Guess I'm sick of wearing masks ...
Guess I'm sick of wearing masks ...	Same here.  So why'd you come tonight?
'S'okay, I had to go home, feed my cat.	No hard feelings?
I, ah ... never fool around on the first date.	Nor I, on the second.
Nor I, on the second.	What're you doing three dates from now?
Somewhat like the lonesome secretary syndrome, I'd suppose.	Executive Assistant.  Secretary.  Girlfriend?
Executive Assistant.  Secretary.  Girlfriend?	Had one.  Didn't work.
Nope, I told her everything.	And the truth frightened her?
... Maybe I'll watch it on TV.	"""We""?  You and..."
You've got a dark side, Selina Kyle.	No darker than yours, Bruce.
No darker than yours, Bruce.	Well, I'm... braver at night, if that's what you mean...
Well, I'm... braver at night, if that's what you mean...	Yeah?  Me too...
Pouring myself into my work.	I, ah ... didn't catch your last name.
I, ah ... didn't catch your last name.	"Oh.  ""Kyle."""
Well that's a ... long story ...	Well, I could ... free up some time...
Sorry.  I mistook me for somebody else.	You mean mistook <u>me</u>?
You mean mistook <u>me</u>?	Didn't I say that?
Didn't I say that?	Yes and no ...
Your blood, Max.	My blood?  I ... I gave at the office.
My blood?  I ... I gave at the office.	A half-pint.  I'm talking gallons.
Let's consummate our fiendish union!	I wouldn't touch you to scratch you.
Y'mean frame him?	You're quick.  Mayor Cobblepot.
She jumped.  She'd been depressed.	Yes.  <u>Yes</u>.  Boyfriend trouble ..?
But who could've ... no, don't say it.	My lips are sealed.
The Christmas Eve of Destruction -- !	... eight, seven...
... eight, seven...	Silent night, violent night...
Silent night, violent night...	All is shrill, all is blight...
"I could teach her my ""French flipper"" trick..."	Oswald:  We need one more thing.
"What, is that supposed to ""hypnotize"" me?"	No, just give you a splitting headache.
No, just give you a splitting headache.	Well it's not working.
In spirit only, I'm afraid.	The boys need help.
I'm sorry.  I was too late.	Too late for what, dear child?
It's good to see you again, Uncle. I've missed you.	As I've missed you.  Sleep well, child.
You certainly will not.	Oh no, those things frighten me.
What is it?	It appears, sir, that someone has stolen the batsignal.
It's good to see you.	What seems to be the problem?
Alfred, old friend, I could use your help right now.	Right here, sir.
But I can't can I?	No, my boy.  I'm afraid none of us can.
Oh, but, sir.  So much goes on-	Don't be silly, Alfred. After all, she's family.
Well, I hope you'll stay with us.	There's a lovely inn just down --
Perhaps the truth is you don't really trust anyone.	Don't tell me you're on his side. Again.
Their new computer sciences division.  How did you know?	I recognized the accent.
Please be looking for me.	I'm so sorry to trouble you, but-
It'll take the satellites about a minute to re-align, but...damn!	Damn?  Damn is not good.
Damn?  Damn is not good.	Those targeting mirrors are frozen. The sun beam won't work.
Pow!  What!  Kazow!	What exactly are you doing?
What exactly are you doing?	I don't know.  It just feels right.
Crimefighter's rule number two.	I'm afraid to ask.
I'm afraid to ask.	Be ready for anything.
This is easy.	Crimefighter's rule number one: never say that.
Youwsa!  Nothing but air.	Batgirl, Baatgirl, Baatgirl.
Winded, old timer?	Don't make me kill you in front of the girl.
If we could relay the sunlight-	From the other side of the equator-
No sign of the snowman.	Maybe he melted.
We gotta get those locks changed.	She knows who we are.
She knows who we are.	I guess we'll just have to kill her.
I guess we'll just have to kill her.	Kill her later.  We've got work to do.
I'm totally over her.  Positively.	Me too.  Great stems, though.
Pull back.  You can't make the jump.	I can make it.
You don't have two million.  Three million - -	I'll borrow it from you.  Four million - -
You think Freeze will take the bait?	He'll be here.
Nice suit.  And today you are?	Nightwing.  Scourge of darkest evil.
Nightwing.  Scourge of darkest evil.	This is all about fashion for you, isn't it?
This is all about fashion for you, isn't it?	It's the gear.  Chicks love the gear.
Acceptable losses in a battle to save the planet.	People come first, Dr. Isley.
You just called me Ivy.  Who's Ivy?	I wish I knew.
You're not even listening to me.	What?  I'm sorry.  You were saying...
And she did it all for me.  For love.	She's infected us with some kind of pheromone extract-
She's infected us with some kind of pheromone extract-	Is that it, Bruce?  I'm under some magic spell?
Is that it, Bruce?  I'm under some magic spell?	She wants to kill you.
Like hell you do.	Dick, don't push me right now.
He's dying.  And I can't deal with it.	But he's never said a word-
I need the Wayne Diamonds.	We gonna trap ourselves a snowman?
What happened to his wife?	Presumed dead.  No one knows.
That's gotta hurt.	Somehow he survived.  But the cryoslution mutated his body.
Inspired, Ms. Ivy.	I'm hungry.  I think I'll have poultry.
Make yourself right at home.	Where is my wife?
Freezy, I'm feeling...hot.	I find that unlikely.
How about dangerous curves?	Of trust. Tell me your plan.
Of trust. Tell me your plan.	Kiss me and I'll tell you.
Kiss me and I'll tell you.	Tell me and I'll kiss you.
I've got to stop him.	One kiss, my love.  For luck.
Give it up.  If you threw yourself-	At you?  Polly want a kiss?
Letters in the alphabet.	Of course. 13 is M....MRE.
Of course. 13 is M....MRE.	How about, MR. E.
What do maniacs always want?	Recognition, of course.
Perhaps the fall...	There's one other thing. I feel..
Maybe they're right.	Which `they' might that be, sir?
Is he all right?	I'm afraid Master Dick has... gone traveling.
I'm afraid Master Dick has... gone traveling.	He ran away?
He ran away?	Actually, he took the car.
Actually, he took the car.	He boosted the Jag?  Is that all?
He boosted the Jag?  Is that all?	Not the Jaguar. The _other_ car.
What did you say?	He killed them. Two-Face. He slaughtered that boy's parents.
He killed them. Two-Face. He slaughtered that boy's parents.	No. You said I. I killed them.
No. You said I. I killed them.	Don't be ridiculous.
Gee, I'm not sure.  Alfred? How many rooms? Total?	Ninety-three, including the sauna.
I wonder if she'd go out with me.	Apology hastily retracted.
It'll never work.	I believe you said the same thing about the Batmobile.
Then you'd have nothing to complain about.	Hardly a worry, sir.
The dreams again, sir?	I think they're getting worse.
I think they're getting worse.	It's a wonder you sleep at all.
Up here, Al.	Just checking, young sir.
Just checking, young sir.	Four seconds from...
Welcome, Master Grayson. I'm Alfred.	How ya doin', Al?
Help Chase. I'll be back.	Did Two-Face call him Bruce?
I haven't had much luck with women...	Maybe you just haven't met the right woman...
We all wear masks.	My life's an open book. You read?
Now black rubber.	Try a fireman. Less to take off.
Are you trying to get under my cape, Doctor?	A girl cannot live by psychoses alone.
A girl cannot live by psychoses alone.	It's the car, right? Chicks love the car.
Wait. I have a riddle for you.	For _me_? Really? Tell me.
So glad you could come.	What? Oh, Edward. Hi. Congratulations. Great party-
Wait. You can't go.	We'll talk some other -
We'll talk some other -	No. Don't leave me! My invention! I need you!
Bruce Wayne. In the flesh.	Um...I'm pretty sure I'm Bruce Wayne. And you are?
Oh God, Bruce, you were a child. You weren't responsible.	...Not the bat?
What are you talking about?	Chase. There's something I need to tell you--
So how goes your `scholarly' pursuit of Batman?	Oh God, Bruce. You're still jealous.
Find anything interesting?	Why do I feel like the other man, here?
Well, I met someone...	Fast work. You just moved here.
That kid is amazing.	I don't get you Bruce Wayne.
I don't get you Bruce Wayne.	Me? I'm easy. Especially after a couple of martinis.
Like normal folks.	What? This isn't normal?
I'm surprised you aren't blind by now.	I'm sorry. Who are you?
To kill me.	You understand obsession better than you let on.
That's usually my line.	Look, I'd love to keep chatting-
Look, I'd love to keep chatting-	Would you? I'm not so sure.
So, this Riddler, he's dangerous?	What do you know about obsession?
My opinion. This letter writer is a total wacko.	Wacko? That a technical term?
Psychiatrists make you nervous?	Just ones this beautiful.
Just ones this beautiful.	The infamous Wayne charm. Does it ever shut off?
The infamous Wayne charm. Does it ever shut off?	On occasion. Usually at night.
Bruce, you can't.	Chase is coming for dinner. Why don't you join us.
Who is The Batman, Edward?	Can't tell if you don't say please.
Can't tell if you don't say please.	You're right, Edward. I didn't mean to be impolite. Please.
Who is it?	It's Dr. Meridian. Chase. Do you remember me?
It's Dr. Meridian. Chase. Do you remember me?	How could I forget?
How could I forget?	Dr. Burton tells me you know who Batman is.
Dr. Burton tells me you know who Batman is.	Yesssssss. I know!
...Fired...your fired...your fired. You understand?! Fired!!	I don't think so.
I'll show you it works.	What the hell is going on here?
Wait! You said you'd let me go!	Never heard of a double-cross?
Please. I swear I won't say noth-	The coin _wants_ to decide.
_We_ sure are.	...You gonna kill me?
I got family. ...Please.	What say we flip for it?
Go ahead. You can say it.	You're a genius.
Where are you sending Batboy this time?	Here. Get a good seat.
Alexander Knox. Gotham Globe.	Mr. Wayne is out for the day.
How high up would you say that is?	I'd say about thirty feet, sir.
Which bathroom is that, sir?	The small one.
Where's the boy?	Upstairs. He's quite docile.
It's all right, Alfred. Everything's under control.	... Very good, sir.
Like your boyfriend. He's kinda hot.	Take me. Let the boy go.
I don't want to jeopardize anyone close to me.	If you don't mind my asking... Who's close to you?
What is that?	Photo database. I'll do your photos now.
They don't come down here. They're afraid of the lights.	I loathe bats.
What is this stuff? Kevlar?	Better. It's not on the market yet.
Better. It's not on the market yet.	It doesn't protect your head, though.
It doesn't protect your head, though.	That's why I wear a target on my chest.
... How long have I been out?	Quite a while. I took the scenic route.
Quite a while. I took the scenic route.	Well, I've certainly enjoyed it. -- What's that?
Thank you, Vicki.	... Where are you taking me?
How do I know you won't keep them all?	I'll take you with me.
...Not even a 'thank you'?	Well -- I think you might consider
How much do you weigh?	... A hundred and eight?
Can't we --	Too many people. Come on!  SHIELDS!!
What about the girl?	He won't kill her. -- GODDAMMIT!
I know. I called them.	Shouldn't we --
Do you want a drink?	Yeah, a drink. 'Civilized,' right?
I'm sorry, she hung up. What are --	Finding out where she is.
Keep her on the line!	... Where are you calling from?
"""It worked for Van Gogh. Let's kiss and make up."""	The does it. It's going to be this weekend.
Who's this 'Bruce'? Are you trying to make me jealous?	I'm serious, Bruce. We have to -- !
I know it's late. I -- Are you there?	Yes, Bruce -- I'm here --
All street mimes should be executed.	... Looks like a convention.
Maybe we should just kiss.	... We could try that.
As far as I know.	Good.  With any luck we'll run into each other.
All right, Bruce, what do you suggest?	I suggest a nice big bomb.
MOVE! Can't you do something??	It's a detour. They're backed up for blocks!
Boss! Jesus! They've --	They'll be sorry. They'll be sorry. MOVE OUT!
We got 'em!	Take 'em! I want his head!
I answer to Grissom, punk.  Not to you.	Why, Eckhardt.  You should be thinking about the future.
I missed you, Lieutenant.	Sorry.  We had another bat sighting.
Jack, listen -- we'll cut a deal --	JACK?  JACK?  DO I LOOK LIKE A JACK?
Why do you need me to handle a simple break-in?	Because I want someone I can trust.
I've considered that possibility.	And what happens if we say no?
... Thank you.	Unfortunate, but I think we can work around it.
Yeah. Deja vu.	What do you say? Let's head for the lights.
Allie, I know exactly why you're doing this.	... Oh?  Why is that, Vicki?
Nice snap, huh?  Pulitzer Prize, 1963.	His face.  Allie, look at his face.
Oh.  Sorry.  I was thinking.	What were you thinking?
Rich.  Reclusive.  Bankrolls half a dozen charities.	Likes to kill? KNOX  Women find him magnetic.
Likes to kill? KNOX  Women find him magnetic.	I bet they like him for his big charity balls.
I bet they like him for his big charity balls.	That, and the sweet smell of two hundred million bucks.
Here, let me do that.	No, I'm fine.
0 my god.	Sorry, honey - he just happened to tag along.
Sorry, honey - he just happened to tag along.	Nothing ever really changes, does it, David?
At least you didn't bring Mr Bean with you.	Ah, well .... CUT TO:
Hi.....  Roses.	"Yes.  And
"Yes.  And	I have a wine for dinner that will kill you."
Ali?  What's wrong?	Your face smells like a foot.
And what did you say?	I said I'd check with you.
Big day today, huh? 78	Uh ... yes ...
He doesn't like to say much does he?	Right first time.
Right first time.	I can understand THAT. Neither do I.
Two dollars please.	Annie, it's me.
Annie, it's me.	Oh, right, yeah.  two dollars please.
Better go.  Grierson hates people being late.	Yes.  Ahm... think I'11 ...
He's just parking the Governor's car.	Great - keep him out of trouble.
And howls Alison?	She's ... well, she's good.
Howls he getting on with the family?	Ah. Fine.  It's good.  It's great.
And that's where you introduce me to the Governor.	Right.  Got it.
Say that again, son.	I beg your pardon?
Maybe two cars.	A car sounds sensible.
Tomorrow.  You have a problem with that?	No. Perfect.  Looking forward to it. CUT TO:
Jen - you don't wanna talk about it?	It's you and Mom that need to talk.
It's you and Mom that need to talk.	Sure.  You're right.
But is she gonna be okay?	How the hell should I know?
Well, there is that ...	I'11 give you a chance... Know anything about computers?
Well, Michael Bolton's pretty grisly.	I vote for Bart.
We need you urgently in C Theatre.	Damn.  I was just going to Number 4 ....
Damn.  I was just going to Number 4 ....	It is urgent, sir.
Why thank you sir.	off the peg?
Come on Sting!	Sting?!  Sounds like something you put on a rash.
Um, uh, butt... um, hole. Butt-hole...	Uh... dill, um, face...
Uh... dill, um, face...	Um... ass... head...
You already said that, Butt-Head.	Oh, uh, I mean, uh, ass-goblin...
Yeah, he had a lot of problems. Huh huh huh.	Yeah, and um, he used to hit me too.
Yeah, and um, he used to hit me too.	Uh hey, does anyone wanna see my unit?
Heh heh. Fire. Heh heh Aaaaeeehhhhg!!!	What's your problem Beavis?
Well where is she?!	Could you, like, tell her we're ready to score?
Hey Butt-Head, look. A jack. Heh heh.	Huh huh. Jack. Huh huh.
Hey, where'd those chicks go?	Uh... I think you scared them off.
Check it out Butt-Head, porta-potties.	Cool, huh huh.
Uh... Is this the right bus?	You mean there's mre than one?
Ow! I'll kick your butt!	Huh huh. You mean like this?
That was boring. Huh huh.	Yeah, it's just the same thing over and over again.
Yeah, it's just the same thing over and over again.	Uh... We can't leave Washington 'till we find that chick.
Beavis, huh huh, what'er you doing?	My butt's bothering me!
My butt's bothering me!	You should kick your butt's ass. Huh huh huh.
Check it out Butt-Head, TV!	Cool! Huh huh huh.
This is dumb, let's find that chick.	Yeah, heh heh, enough'a this crap.
Damn, huh huh.	Yeah, heh heh. Damn right!
Heh heh. We're in Washington!	Huh huh. We're gonna score now.
No way butt-hole! I want the window.	Cut it out butt-hole!
This is it, Beavis. Huh huh. We're finally gonna score.	Heh heh. Thank God.
Ow, let go, Butt-Head!	Huh huh huh.
Huh huh huh. I'm ready for love.	Me first! Me first!
Huh huh huh. That chick was talking about doing it.	Heh heh. This is the best night of our lives.
Ow! These chips suck.	What a rip-off. Come on. We gotta find that chick.
Beavis. This is what it's all about.	Heh heh. Yeah.
Uh, B...A...U... No, uh, V...	Uh... Buuuuut. Boot. Someone named boot.
Uh... Buuuuut. Boot. Someone named boot.	Huh huh. This says Beavis.
Hey Butt-Head, why's that guy holding a sign?	Uh... maybe he's blind... Huh huh, check this out.
Dammit! Huh huh. That chick wants me.	Aggghg! We're gonna die! We're all gonna die!
Wait, I wanted her to do it.	Huh huh. Soon, she will be mine.
Oh, heh heh really? Cool. Heh heh.	Uh, huh huh... We'll do it, sir.
Actually, we just wanna watch TV...	Shut up Beavis! Uh, yeah. We'll do your wife.
Shut up Beavis! Uh, yeah. We'll do your wife.	Nnnnaah...We need to watch TV DAMMIT!!!
Huh huh huh. That was cool.	Dammit! I need a TV now! We're missing everything!
Nnnnooo. Oooooh nooooo.	What's your problem Beavis?
What's your problem Beavis?	I need TV now! Now! NNNNDAMMIT!!!
Huh huh huh. That was cool.	No it wasn't!
What a dork. Huh huh.	Yeah, heh heh. He's a anus. Heh heh.
"Huh huh huh. He said ""anus."""	Entert-ain...us...an-us...Oh yeah! Heh heh. Anus. Heh heh.
Dammit, Beavis, I was about to score. Huh huh.	Yeah, but check it out. It's gone!
Yeah, heh heh. Boooooiiiing!!!	Just make sure it looks like an accident...
Does that say Xanax?	Um, um, yeah, probably. Heh heh.
Hey, Butt-Head, it's that slut from the plane!	Why it's you two. How'd ya do in Vegas?
Why it's you two. How'd ya do in Vegas?	Uh, we didn't score yet.
Uh, we didn't score yet.	Sorry to hear that. Me, I took a beating.
They perk me right up.	Heh heh, thanks.
Really? I poop too much.	Oh, maybe you're lactose intolerant.
Hello there. Are you two heading for Las Vegas?	Yeah, we're gonna score.
Well, I'll be a blue-nosed gopher.	Where did these guys come from?
You see what I see, Bork?	I see it. I don't get it.
Did you give him a full cavity search?	Ah, the witness?
Ah, the witness?	Yes. You can never be too careful Bork.
Uh, yeah. Does she have big hooters?	She sure does.
She sure does.	This is gonna be cool! Huh huh huh.
Whoa, this kicks ass! Huh huh huh.	Yoo-hoo! Travis and Bob Head. Whoo-hoo!
Meet Sylvia. And Elloise and Sam. And Ed. And Doreen.	Are you guys sluts too? Huh huh huh.
You scored with two chicks?!	Yeah, they were sluts. Huh huh huh.
You were a roadie for Motley Crue?	Yup. Huh huh.
Uh, hey. One of you kids got a match?	Uh, my butt and your...uh, butt.
Muddy! Sonofabitch! Hold it. What's he payin' ya?	Uh, ten uh...
You got two seconds!	Uh, huh huh. Is that gonna be enough time?
You'll be rich!	We're rich in what really matters.
What time is it?	3:30 I guess.
3:30 I guess.	Give or take a year.
Let's see if she can get my model back.	You can build another one... with her.
N... No,  I just did the Ink Spots.	Who did the sushi?
Honey.  Let's go.	Go?  What d'ya mean?  We need help.
She's only fourteen...	... acts like she's thirty-five.
I guess we open it.	Maybe we should knock first?
I didn't do that one... Hmmm.	... Yes this must be him.  Look... Betelgeuse... Betelgeuse...
Did you copy these gravestones right, Adam?	Of course I did.
Of course I did.	Then it should be here.
Lydia's trying, but they don't believe her.	She's got <u>photos</u>, Barbara.
She's got <u>photos</u>, Barbara.	Adam, you had a photo of Big Foot!
Well, I don't know... We don't get many visitors.	Where are your skulls and bones?
Where are your skulls and bones?	You know you're really a pretty girl.
Are you crazy?  She can't hear you.	I don't know... what are you looking up?
That little girl saw us.	She couldn't have.  We can't <u>make</u> them see us.
She couldn't have.  We can't <u>make</u> them see us.	But she <u>saw</u> us.  I could feel it.
But she <u>saw</u> us.  I could feel it.	That's all we need.
That's it?  No number, or instructions?	Nothing.  The bio buster?  I don't get it...
Oh, Adam, don't ever leave me alone.	<u>You</u> left me.
<u>You</u> left me.	I know.  I'm sorry.
Oh, honey, we may need that.	No, I'm not putting up with this.
Adam, we <u>are</u> in hell.  I hate these people.	They make gypsies look good.
Arrogant.  That's Jane Butterfield all right...	At least we won't have to worry about her.
God, it's Jane Butterfield!	What's she doing here?
What's she doing here?	I don't know.  <u>Jane, Jane, up here</u>!
Maybe this is heaven.	In heaven there wouldn't be dust on the wallpaper.
I don't think we survived the crash.	This is going to take some time.
Handbook for the recently diseased.	De<u>ceased</u>.  I don't know where it came from.
You'd better sit down, hon.	I am sitting.
This fire wasn't burning when we left the house.	How's your arm?
How's your arm?	I'm not sure.  It feels... frozen.
Wave at the lion.	Don't forget the balls, Ernie.
Manchurian Tung oil?  Where did you get it?	Helen got it for me in Oslo.
We studied all day yesterday. Don't tell me...	I got an A!
What is going on?	Really.  I don't know.
Why are you creeping around Delia's bedroom?	We were trying to scare your mother.
We were trying to scare your mother.	Stepmother.  I'm very sensitive about being related to reptiles.
You can actually see us?  Without the sheets?	Is this like a trick question?
You don't have an appointment, do you?	W... We didn't know how to make one.
Okay.  But that Betelgeuse sure seemed mad.	Hi ho, hi ho, it's off to work I go!
<u>Don't say his name</u>!  Just practice. Do it <u>yourself</u>!	And if we need <u>you</u> again, how do we...?
Are you available?	No.  What's wrong?
You lilly-livered bleeding hearts!	I'm so sorry we frightened you. What were you doing?
We're very unhappy.	What do you expect?  You're dead.
No, Lydia, we're dead.	I want to be dead too.
I want to be dead too.	No you don't!  No... Lydia... Why?
No you don't!  No... Lydia... Why?	Life is just... too awful.
That's right, Jane.  Complete vacation.	Honey -- today I am three hundred <u>fifty</u> thousand dollars!
Honey -- today I am three hundred <u>fifty</u> thousand dollars!	No!  Jane, it is 6:45 in the morning!
So... You're ready for me now?	You've got to help them.
You've got to help them.	Can you help <u>me</u>?
Can you help <u>me</u>?	... I will.
... I will.	Then <u>I'll</u> help them.  For a price.
God, you're anatomically correct!	Just <u>say</u> it.
You've <u>got</u> to say it!	No I don't.  I don't take orders from smurfs.
They'd look silly on me.  I'm fourteen years old!	How'd you like to be married to... the King...?
I don't know what that signal means.	It means look <u>behind</u> you, bimbo.
Cookie, they are dead, dead, deadski.	Of course they're dead.  They're ghosts.
Of course they're dead.  They're ghosts.	No, I mean they've gone. Decamped.  Split.  Vanished.
No, I mean they've gone. Decamped.  Split.  Vanished.	Where'd they go?
Where'd they go?	The happy hunting ground.  Who cares?
The happy hunting ground.  Who cares?	Are you a spirit too?
I want to get in.	You do?  Over here?  On <u>my</u> side?
You do?  Over here?  On <u>my</u> side?	I think so.
Well, it can't be any worse than my life here.	That's right.  They treat you like scum I bet?
He's a cloven-hooved beast!	He's your cousin.
They're probably guilty about what they did to me.	Not these people!  They are ruthless!
Otho'll know what to do.	What's he going to do?  Viciously rearrange their environment?
I can't <u>bring</u> the ghosts.  They're not here!	Otho, could you actually... do something with them?
I cannot believe this.	Delia will cook...
Look at all that <u>parking</u>!	Come on.  Leave their stuff alone.
The attic room is locked --	They're ghosts.  They do what they want.
Darling, can't you see I'm relaxing in here!	Well I just wanted to tell you what I saw.
Where is your mother?	Stepmother.  She's out torturing the movers.
What do you think, honey?	Delia hates it.
Are they suffering?	They're already dead.  They can't feel a thing.
Don't you <u>dare</u>.	I saw some ghosts.
What's happening to them?	I don't know.
Are they still here, Otho?	Oh, they're still here.  They're Just not showing up.
Look at that <u>detail</u>!	Look at the tiny figures.
Now, Lydia... Favor us about your ghosts.	<u>No</u>!  Do not encourage this little... person.
<u>No</u>!  Do not encourage this little... person.	Oh, Delia, lighten up!
You don't have a key?	Maybe Charles does.
Otho, I can<u>not</u> <u>live</u> with these cheap domestic floor tiles.	Be brave!  Otho take care!  Onward!
Hellooo!  How's school?	It's okay.  How's the dirt business?
Their wedding clothes.	Their wedding clothes.
Otho, that's terrible.	My sentiments exactly.  Porcelain is for teeth!
It's bad luck.  And I believe hugely in luck.	Hold your breath and we'll pull.
Will you be leaving now, Robert?	In a day or two, yes.
I would like to walk today.	Hell yes - walk. You're meeting the President, aren't you?
... It's five of, you'd best get on in there.	Thank you, Robert.
Yes, Robert. I know about the President.	... Oh? You've heard?
Why, that's terrific, Chauncey.	How do I know when it's ten o'clock?
... And please call me Robert.	Yes, Robert. I will.
Claim...? ... Oh, claim, that's what Thomas asked me.	Thomas? Who's Thomas?
Thomas? Who's Thomas?	Thomas Franklin, an attorney.
You were wrong, it did hurt.	But not for long...
The injection will ease the pain and swelling, Mr. Gardiner.	I understand. I've seen it done before.
I understand. I've seen it done before.	Now, you'll barely feel this. It won't hurt at all.
... Do you think we should look for him?	I don't think so, he should be along soon...
I don't think so, he should be along soon...	I wish he were here...
... He walked off...	Chauncey is so sensitive... He was overcome with grief...
... But he's...?	He's resting comfortably now. There's no cause for alarm, yet...
Good God, Eve - you'll freeze out here.	I wanted some fresh air, Robert. How is Mr. Gardiner?
Of course, Doctor, I understand.	Fine. Thank you, Mr. Franklin.
Fine. Thank you, Mr. Franklin.	Certainly, glad to be of help.
I don't think that's entirely true, Grover.	And what do the boys around Intelligence think?
And what do the boys around Intelligence think?	Well, Mr. President... They don't quite know what to think.
I understand. I've never seen anything like this on television.	Please, hold still, Mr. Gardiner.
Do you know Raphael?	No sir, I don't believe I do.
No sir, I don't believe I do.	Oh. I have a message for him.
Morton Hull, the producer of 'This Evening' just called.	Yes, I have seen that show on television.
I like to watch.	To watch...? To watch me...?
To watch...? To watch me...?	Yes. I like to watch.
Yes, Eve. Ben is very wise.	... Come in, Chauncey - please come in...
No. I was with a man. We went upstairs.	Upstairs? Chauncey, you're always involved in some sort of discussion...
Chauncey! Have you seen the papers?	No, Eve. I don't read the papers.
... Good night, Chauncey.	Good night, Eve.
Thank you, Eve.	And Benjamin sends along his best wishes.
And Benjamin sends along his best wishes.	How is Ben feeling?
Oh, I like that very much.	Yes, so do we.
Your leg must be getting better.	Yes. It's feeling much better now.
... Good night, Chauncey.	Good night, Eve.
Ben is very ill, Eve - I've seen that before.	Yes... I know, Chauncey.
No. It won't do that.	... Would you like us to notify anyone for you?
... Would you like us to notify anyone for you?	No. The Old Man died and Louise left.
Did you lose something?	Yes. I lost my remote control.
Yes. I lost my remote control.	Oh... Well, I'm very sorry...
May I ask your name?	My name is Chance.
My name is Chance.	Pardon me, was that Mr. Chance?
Pardon me, was that Mr. Chance?	No. I'm a gardener.
Would you care for a drink?	Yes. Thank you.
I hope you're comfortable.	Yes. I am.
Yes. It's a very good show.	I'm glad you like it, Mr. Gardiner.
Do you need a doctor? I could call Robert...	I don't want Robert.
Can you see well?	Yes, very well, thank you.
Yes, very well, thank you.	Do you like it?
Do you like it?	Yes. It's very tiny, but it's good.
Yes. It's very tiny, but it's good.	... Are you sure you like it?
... Are you sure you like it?	Yes, I do, it's very good.
Yes, Eve. That would be good.	We must speak again, Mr. Gardiner, many times!
Ho! Ho! A dash of American humor! Vladimar Skrapinov!	Yes. I like that name very much.
Do you think so? Do you think so?	So you know Krylov!
... Chauncey... Chauncey...	Yes, Ben - are you going to die now?
He's a decent fellow, the President, isn't he?	Yes, Ben - he is.
Chauncey, up and around this morning, are you?	Yes, Ben. My leg is not very sore.
Yes, Ben. My leg is not very sore.	Well, that's good news, my boy.
Well, that's good news, my boy.	You're looking much better today, Ben.
It's a very pleasant room, Ben.	Yes, I'm sure it is. That's what they say, anyway.
That's good, Mr. Gardiner. Or may I call you Chauncey?	Yes. Chauncey is fine.
Yes. Chauncey is fine.	And I'm Ben.
Yes. Shut down and locked by the attorneys.	What'd I tell you? Kid-lawyers! The S.E.C.! Damn them!
Yes. I am very hungry.	... So am I, my boy - so am I.
Welcome to Rand Memorial Hospital, Mr. Gardiner.	... I see.
I like to watch.	Watch? You mean just watch me? Doing it alone?
Watch? You mean just watch me? Doing it alone?	Yes. I like to watch very much.
I want to tell Eve.	Tell Eve? You mean Mrs. Rand?
... Did you wish to see someone, sir?	Yes, I would like to see Ben.
Yes, I would like to see Ben.	Oh, Mr. Rand, of course. Right this way, sir.
May I help you, Mr. Gardiner?	Yes. I would like to go to Rand Memorial Hospital.
Good day, Mr. Chance.	Good day, Sally.
Might you have a birth certificate, Mr. Chance?	No.  That's where Joe fixed the bricks.
What about money?	I never needed money.
Your appearance doesn't suggest that at all, Mr. Chance.	Oh. Thank you.
... My suitcase.	Yes sir. I'll take care of that.
Let's have a look, do you mind?	Of course. I would like to look.
Can you walk? It's not broken, is it?	It's very sore.
... Hmmm... Elevator.	... Yes sir - elevator!
Well, ain't that the truth...	Yes. It is.
Good morning, Louise.	He's dead, Chance! The Old Man's dead!
He's dead, Chance! The Old Man's dead!	... I see.
... Evening, Chance.	... Good evening, Louise.
Yes. I was there with Ben.	I know that, Mr. Gardiner.
No, Thomas. I don't know how to sign.	Come now, Mr. Chance.
Come now, Mr. Chance.	I have no claim, Thomas.
I have no claim, Thomas.	But you won't sign, correct?
What are your plans now, Mr. Chance?	I would like to stay and work in my garden.
... Do you drive this, Mr. Chance?	No, Thomas. I have never been in an automobile.
Those trees were very young when I first arrived.	Are you related to the deceased, Mr. Chance?
Have you served in the Army?	No, Thomas. But I have seen the Army on television.
How were you paid?	I was given meals, and a home...
... Are you waiting for someone? An appointment?	Yes. I'm waiting for my lunch.
