Well, thank you.	You're late again.
" Let me tell you something, Mike-- Whoa.	You are good right there.
Mike, uh, there are rules to this lawyer thing.	Is that right? Yeah.
So don't make me brat you till your legs don't	Now tell me where to find him.
You know it's the right thing.	I can't tell you, Mike.
I'm gonna leave the room, make myself a Nescaf�.	I'm just looking out for you, that's all.
Like a mother hen.	Believe me, money laundering ain't what it used to be.
God, do I miss the '80s.	Wasting your time.
I'm buying the car wash.	End of story.
Plus you get to shoot at	You got your bumper cars over there down that way.
Got your arcade right here.	All the latest video games.
Snack bar is over there.	Nothing stopping you from selling beer to the parents.
That's a whole new revenue stream.	All right, enough.
Over and above.	Service-wise, is is over and above.
And that goes double for you, Hip-Hop.	My guy's no dummy.
Make it snappy.	I'll go see if they have Tetris or something.
I mean-- I'll make it.	We had a-- We had a good run.
But it's over.	Never the DEA.
The cook can't stop.	That's the one thing I'm certain of.
Production cannot stop.	Gus can't afford to.
It keeps you alive, too.	I think I can see to that.
If I'm the only chemist that he's got.	I-- I can't do it, Mr.
I'll do it.	I'm gonna-- I'm gonna need your help.
Hell, I don't even know where the man lives.	He's not in the phone book.
I can't find him on the Internet.	I can't do it in the lab.
There's got to be some other way.	I'm all ears.
But I need you to track him.	Get me his address, and I'll do the rest.
Look, I saved your life, Jesse.	Are you gonna save mine? Yeah.
Anyone watching the place? No.	Looks pretty much wide open.
When are you gonna do it? Tonight.	Once it gets dark.
We got a problem.	Some kind of chemical leaking in your lab.
You gotta come with me.	I'll, uh-- I'll follow you.
They tell me to bring you, I bring you.	Come on, get in the car.
I'll cook-- I'll cook for free.	And there won't be any more trouble.
Please let me talk to him! Shut up! Shut up.	I can't do it.
Okay? Like you said, he's the problem.	He's always been the problem.
I'll take you right to him.	Huh? What do you say? Where is he? Right now.
You give me an address.	I-- I don't-- He moves.
I'll just-- It's just my phone.	I'll call him, and I'll have him meet me.
All right? Okay? Okay? Did you do it? Mr.	White? Did you do it? No, I didn't do it.
I can't now.	It's gonna have to be you.
What? No way, man.	Listen to me.
You're closer than we are.	You'll have about a 20-minute lead.
I have money.	I have-- I got a lot of money.
I have-- Um You-- Please don't do this.	You don't-- You-- You-- You don't have to do this.
I'm a manufacturer.	I'm not a dealer.
Grant me this divorce and stay out of our lives.	You're my new lab assistant.
It's tens of thousands of dollars.	We have the money.
It comes down to you and me versus him.	I'm sorry, but it's gonna be him.
Why? Because your boss is gonna need me.	How's it coming? Very, very well.
It's a flurry of deliveries.	Feels like Christmas morning.
Ah, it's exciting.	It's really coming together.
Fring, I can guarantee you a purity of 96%.	I'm proud of that figure.
It's a tremendous gulf.	Gale, for our purposes 96% will do just fine.
A trained chemist, like yourself.	But it won't happen.
I don't consider him a professional.	If he's not, I don't know what that makes me.
I'm not trying to talk myself out of a job.	With this person, there are other considerations.
It's between Eubank and Spain but Mazatlan's closest.	I don't know.
Then it's straight residential.	You want me to what? Yeah.
You know him? We all heard this	Hey, I don't think you ought to go in there.
Mister, this is a crime scene.	You don't want to touch anything.
Drive! What the hell happened? He's gone? Look at me.	Gone? You sure? Gone? Splattered all over.
Oh, geez, I-- I-- I woke you up.	I woke you up.
I needed to get up anyway.	Are you coming in? No, no.
It's kind of my only time to run errands.	I just needed to-- I-- Sorry.
I'm not pressing.	I just-- I think that it's great.
That just might make him angrier.	Come on, Mike.
We're closed! Closed! Saul Goodman and Associates.	I'll see if he's in.
I called every number I have for him.	Yeah, I'm sure he's fine.
Look, Walter is fine, okay? I guarantee that 100%.	You got a passport, right? Yeah.
I need the number for a locksmith.	I don't know.
That would have your address.	No, but I can't even get in my car.
We could have been stabbed.	I'm sorry, really.
I can't believe this.	I cannot believe this day.
Oh, my God.	My identification -- It's gone.
Oh, God, not-- Not this second.	Call the pharmacy.
I-- Are you okay?	Please, just-- Please, just take her.
Here you go, sweetheart.	Oh, there you go.
So tell me all about it.	I heard you broke new ground today.
What? It's pretty.	I need the thing.
I know every step of his cook.	Do you really? You-- Really? So please tell me.
All his bullshit aside, it's called a cook.	See, everything comes down to following a recipe.
Simple, complicated, it doesn't matter.	The steps never change and I know every step.
Without-- Without Jesse and myself you have no new product.	You-- You-- You have no income.
Your people out there will not be paid.	Your distribution chain collapses.
Without us you have nothing.	You kill me, you have
You kill Jesse, you don't have	You won't do this.
You're too smart.	You can't afford to do this.
We're-- We're-- We're ready to go to work.	We'll just pick up right where we left off.
Oh, my God.	Well? Get back to work.
Let's just-- We'll just lay this down.	We'll put him in feet first.
I never used this stuff.	You sure it'll do the job? Trust us.
Here you go, hon.	Get you anything else? No, I'm good.
Golden, I would say.	We bought ourselves some time.
He'll be looking for another chemist.	He's not going to find another chemist.
Good luck with that.	Bet it took him years to find Gale.
Right as rain.	Do you have your keys? Yeah.
Wipe down this! I heard you broke new ground today.	I walked 16 feet in 20 minutes.
Yeah, I guess I broke new ground.	You worked here four years.
It's a story people would believe.	This is what we buy.
Assuming that's a deal breaker? Yes.	It's a deal breaker.
It's got plenty of stopping power.	Can't get more dependable than a wheel
Comes in polymer, too.	I prefer the feel of leather.
New sound system.	Whoa! Check it out.
Bodacious subwoofers, yo! Serious cannons.	six of them.
Aluminum columns so they're really, really like, uh, sonically neutral.	Tweeters are kill,
Hold on to your hats, bitches.	Hey, man, I saw Andrea at a meeting yesterday.
She asked about you.	Thanks, man, but, uh Seriously? Maybe just a little bump.
Resident Evil 4 takes it by a long	Aw, please, brother, you're fronting.
A dude don't need no more motivation.	That's a fair point, I guess.
Now, that's the bomb,	Think on it, bro.
Talibans-- They're the Talibans of the zombie world.	I played the game, bro.
You got to lead them and shit.	Dude, that's because they're not even zombies! They're just infected.
You know what this-- This place needs? Ohh.	You okay? Fine.
Can't you sleep? Actually, yes, Marie.	This is me sleeping.
24 in the morning.	This is not a rock.
Hey, uh, I'm going to work.	Wake up, bitch.
Aah! Damn! Ohh.	You're way too sensitive about your zone, bro.
The hell with, uh, with cleaning up.	Just go out and get everybody some breakfast.
Stock up on liquor while you're at it.	Keep this party going.
Come on, damn it.	Wake up and party! Hmm.
Oh, look who woke up hungry.	Are you hungry? Yeah, that's good.
Okay, my sweet girl? Mama's just doing her work here.	Mama's doing her work.
Whoa, way to soldier up.	You're doing it! Come on! Another few yards.
You're almost there, Hank.	Uhh! God! Ha ha ha ha! Oh, yeah.
All right, buddy.	That's what I call kicking some ass.
Same time tomorrow?	Damn straight, if I'm still alive.
It's just-- Yeah.	One day at a time.
Oh, my God.	Yo, what's up with the pie, man? It ain't cut.
That's the gimmick.	What gimmick? This place.
In man hours, that's-- I don't know.	A lot? Hey, Jesse.
So, uh, how you doing? I'm dealing.	How's Brock? Good.
We'll catch up later.	Guess you know I've been calling.
But you got to tell me one thing.	Is someone gonna come looking for this? No.
But I got to believe you won't do that.	Go home, Walter.
How you doing? Hi.	Ton of bricks? Rocks.
Did you check them for damage? Oh, my God.	They're rocks, Hank.
He cursed at me and grabbed himself.	And now he wants to buy my car wash.
Excuse me? Walter White wants to buy my car wash.	The price he pays is $20 million.
I get that completely.	And I harbor no ill will.
Well, there's a load off my mind.	Mike, I'm trying to tell you-- I get it.
Hell of a last couple of weeks.	Makes a man wonder exactly where he stands.
Not after what happened to Victor.	So what's with the piece? Right hip inside your waistband.
You done? Yeah.	Ohh! Oof! Ohh! Thanks for the drink.
So crash here.	It's not like I ain't got the space.
I ain't proud of it, but it's God's honest truth.	Hell, brother, you know we got man love for you.
Walt, I'm not leaving.	Oh, my god.
Why are you do-- Oh, Jesus.	What happened? Nothing.
And I didn't retaliate because he's a much older man.	And that's it.
So-- Frozen peas.	What? It's the best thing for the swelling.
Oh, it-- It-- It's not really swollen.	It's-- No peas.
You don't even have ice.	I will get peas.
I will get ice.	Peas and ice.
Charles? Hi, there.	Can I answer any questions? Yes.
Plank wood floors.	Central heat and air.
Any children? Yes.	As a matter of fact, a little boy.
He's a gemini.	Would love this yard.
Oh, well, great.	Not for religious reasons or anything.
The complete encyclopedia to fantasy football.	Look, it has all the latest rankings.
Well, you always thought this place could be bugged.	Now we know.
Yeah, well, I don't like it.	It's a violation of the work space.
Rain check? Yeah, sure.	How you doing? Good.
Two words-- Nail salon.	It's perfect for money laundering.
Go ahead, pinch yourself.	Ha ha ha! We're not buying a nail salon, Mr.
Can Huell use your bathroom? Huell? Uh, sure.	The top of the stairs.
He'll be quick.	It's a stomach thing.
Um, so the guy won't sell, he won't sell.	I don't accept that.
I don't accept that he won't sell.	I-- I think he just lacks the proper Motivation.
Ho ho ho ho! This one, she's a keeper.	Well, an audit can be highly motivating.
No, we don't want to draw any unwanted tax attention.	We don't want them looking at us after Bogdan sells.
raid? You know he's got illegals working over there.	I mean, he just has to.
" That angle.	What are you talking about? Violence? Attitude adjustment.
That is not at all what I meant.	I-- We do not do that.
I say it has to.	Why? I just do.
Aren't they something? One for each of the 50 states.	Uh, Puerto Rico is technically a territory.
It has all the information.	I'm Stephanie Doswell, by the way.
Any children? No.	I don't really want kids.
Uh, garbage disposal? Mm-hmm.	Aah! Check it out.
Well, thank you, Mimi.	It has a Very European feel.
I know you stole that spoon.	What spoon? What are you talking about? You're a thief.
Excuse me? And a liar, making stories up about yourself.	What's wrong with you? No.
You're not going anywhere.	Hey, my purse.
Just sit tight.	Where do they got you? So good news.
I won't, either.	Okay, then, so we're good to go.
Same as before.	But this is not right.
You cannot shut me down.	You cannot do this.
No, your soap is not the issue.	It's your filtration system.
Replace? Do you know how much cost that is? $200,000.	Look, I understand it's a hardship.
You hardly touched this.	I'm not hungry.
Well I'm leaving the rice pudding.	I'm not hungry, Marie.
How you doing? I-- I'm okay.	Is there a problem? No, no.
Hank will be thrilled.	Sweetie, you have a visitor.
How you doing? Oh, well, can't complain, you know.	Every day a little better.
Yeah, well, handsome was never the hard part.	Come on in.
Grab a seat.	Yeah, just throw that stuff anywhere.
Uh, it's cataloging them-- Sort them, label them.	Um, it's actually a lot of work.
No signs of forced entry, no signs of robbery.	Okay, so it's a crime of passion.
Want my advice? Take this to Steve Gomez.	He'll help you out.
That's what I do.	Well, it was a good try.
Here we go.	Time for your nap.
So Nail salon sounded promising.	What do you think? I think we wait.
It was a great idea.	But it didn't work.
Don't do that.	Why? - Don't do that.
I said he was unpleasant.	Ohh Well, he's not calling you back.
I mean, you didn't honestly think that worked.	Yeah, I do.
What? - No, just - Wait, wait.	What for? Wait, wait.
Right through the-- Right through the chain.	It's-- It's inevitable.
You see? I told you we'd get it.	Did you? Mm-hmm.
That's the hard part.	But yes, Saul was, uh Finally useful.
Oh, my God.	This is truly amazing.
Yes, well, it better be at $320 a bottle.	What? Cuv�e Pol Roget, Sir Winston Churchill.
I asked for an extension from the power company.	Why? Because on paper, we have no money.
I'm not asking you to apologize, Walt.	I'm asking you to be smart.
I bought one bottle of champagne, one single bottle, Skyler.	I paid cash.
All those in favor, raise your hand and say yes.	Yes is for the affirmative.
I made a copy for you in case you're interested.	It pertains to some methamphetamine superlab.
Actually that was Skyler's idea.	I think you are behind all this.
You guys are not lifting a finger.	I mean it.
Walt, you're not teaching them.	I thought you wanted me to be thorough.
Next decision is whether to double down or not.	What you should be doing.
Dealer has a 9.	I see that.
Um, we're not leaving anything to chance.	All right, let's get started.
We've got to be on the same page.	Is this a script? bullet
bullet points? Like a	This is smart.
This is Marie we're talking about here.	No, she hasn't.
Yes, we did.	It's just-- What? Never mind.
" Do you like that? Sure.	It accomplishes two things.
" Do you see that-- Yes.	Right there in the middle of the page? Okay.
Oh, and I put in that line about robbery.	You know, from the G.
Well, I just wouldn't use that word.	I would never say the word "terribly.
Let's just pick up where we left off.	I'm weak, and I'm out of control.
I mean, this whole thing makes me look like crap.	This has to be a warts-and-all story, Walt.
I don't want Junior thinking less of me.	At least you won at gambling.
I'm sorry that I put you through all of this.	How's that sound? Hmm? Here.
I don't know.	I'll just have to see what happens in the moment.
I'm doing the best I can here, Walt.	And yes, I'm thorough.
How you doing? Oh, look at my little princess.	She's getting big, huh? An heavy, too.
We're going to get things organized.	Yeah, it'll be about 10 minutes.
Let's go see it.	Oh, hey, let me.
Hey, it's all right.	I got it.
Come on, guys, it's down the hall here.	Now that one there, that's Rhodonite, okay? It's manganese inosilicate.
Whatever the hell he said.	Anyway, you, uh, you get the idea.
Yeah, it's, uh, interesting.	Interesting stuff, that.
You guys-- Seriously, you got to check this out.	This is good.
Ready? Here we go on here.	Look at this guy.
Man of hidden talents.	Dad, you're such a stud.
Same goes for me, you know.	If you ever want to bounce anything off me.
Yeah, he seems, uh, unique.	Here, let me-- Let me-- Let me show you something.
Give it-- Give it.	Right here at the, uh-- And here's the top.
I don't know.	God, I wanted to get this guy.
It looks like you did.	No, I mean, you know, me personally.
I guess somebody knows something.	They'll track down the shoot
No, I need to know specifics.	Now, we'll start from the beginning.
You-- You drove there.	You drove over there.
It's-- It's like Skid Row.	He has actual hobos living there.
I mean, Western Union-- Message received.	It-- Let me ask you.
I mean, off the grid.	New identities, new everything.
I mean, there's no coming back.	Sh-- You want his card? Ahh.
I can do that.	I can definitely do that.
Hey! Get some dipping sticks too, yo.	Uh, I can-- I can definitely get dipping sticks.
What's up? What's up with your ear? Downstairs now.	Where is everybody? I invited your guests to leave.
Know who this is? No.	You ought to.
Let yourselves out.	I'm sorry to keep you waiting.
How's the ear? Mending.	What can I do for you? It's Pinkman.
He's become increasingly incautious.	He's a risk, a liability.
Got to be kidding me.	Hey, it's me.
Wait for the thing.	All right, this is message number 3.
Hey, it's me.	Wait for the thing.
Wait for the thing.	Where is he? Going to ask where we're going? Nope.
Saul, shut up.	Shut up and listen to me.
Just make sure she gets everything.	All right? Just make it happen! Hi.
You've reached the White family.	Please leave a message.
Fring isn't here right now.	Is there something I'm able-- - He's here.
What's up? Jesse, w-where are you? With Mike.	I know you're with Mike.
But it doesn't-- Goodbye, Walter.	Mike-- Sir-- Excuse me.
Excuse me, sir.	As I said, sir, Mr.
This freaking guy, I tell you what.	It's like Scarface had sex with Mister Rogers or something.
Who does this, you know? Your boy Heisenberg.	Thought we had him already.
The other one is, uh, Jesse Pinkman.	He and I have a history.
No, I know.	I get it, really.
Uhh Buh-buh-buh-buh- buh-buh-buh-buh.	It's finally hitting me what the-- The plan is here.
You're not capable of being the guy.	I had a guy, but now I don't.
You got it? Oh.	We having second thoughts? Every hour of every day.
Let me tell you, that is perfectly normal.	But your expectations are realistic.
You have a good, solid business plan.	I'm feeling very confident.
Thank you very much, Alan.	It is my pleasure.
Oh, well, we'll be looking for you.	I'll be there.
This is a big step, Walt.	If we don't do this right-- We'll be fine.
We will? Tell me again.	We will be fine.
There can't be any mistakes like before.	There has to be complete honesty.
I guess that merits a celebration.	Nothing too expensive.
Yeah, we can do that.	That'll-- That'll be nice.
Where are you? Uh, we're-- We're back here.	We'll be out in a minute.
Ohh He knows that you're here.	I'm parked in the driveway.
You think? I have to get back to work.	You know, schedule.
It's dangerous and counterproductive.	Jesse operates the forklift, not me.
I just-- I don't know.	Go ahead, kid.
Go grab a mug.	Milk? Sugar? Just black.
She-- She said that? Yeah.	Tuesday, is it? Huh.
But I know better than to ask.	Anyway, it was like you wanted.
I'm talking about your baby sister.	I wouldn't let you near my car.
Hey, that's not a bad idea, you guys.	You should put Holly on the sign.
The wipe-down crew would clean you up good.	See this, son? I got your wipe-down right here, pal.
And, uh, we get possession of the keys tomorrow.	Oh, that's awesome.
Right, uncle Hank? Squeaky and greasy.	That's you, my friend.
He was a famous big-time card player.	Hank, that's not funny.
What? It's a compliment.	Well, that's even worse, then.
Uh, he was a meth chef.	I mean, we're talking five stars-- Candles and white tablecloths.
He brought over some file boxes on that case.	Thought I'd take another peek.
You want me to make some coffee? Yeah.	Yeah, that would be good.
The kid's a hero.	It's a story people would believe.
This is what we buy.	To clean cars and clean money.
Gale Boetticher he was a genius.	I'm not sure I agree.
You needed it.	Ohh Skyler, I don't entirely remember what happened last night.
Did you know him? Ha.	Oh, my God.
I know exactly what happened last night.	I drank too much wine.
The firewall, all right? Church and state.	That's how we need to approach this thing.
After last night, I-- Walt, I think you're scared.	I think that message was some kind of goodbye.
I've said it before.	If you are in danger, we go to the police.
I do not say that lightly.	I know what it could do to this family.
You're in over your head.	That's what we tell them.
That's the truth.	That is not the truth.
Of course it is.	A schoolteacher, cancer, desperate for money? Okay, we're done here.
I am not in danger, Skyler.	I am the danger.
Ohh Look, I was-- Skyler? Here we are.	Just like you left it.
So here's everything you need.	I keep very good files.
Being in charge is not easy.	It takes hard work.
You've seen me work hard, Bogdan.	Yeah? I don't know.
A boss has to be tough.	Has to say no to people.
Both of them.	Uh-- I'm on my way.
You need any help? No.	You want me to call her back? No.
It-- It-- It's not like you're doing this on purpose.	You can't help it.
It's no that simple.	Look, you have a disease.
It-- It's like you're an alcoholic, right? No, it's not.	Not at all.
Yes, it is.	I read online.
Gambling addiction is a sickness.	You c-- - Listen.
I'm glad you like it.	I-- I do, Thank you, Dad.
I told you already.	We pick up money, check on things, stuff like that.
Everybody needs backup, right? And this has to be you.	It can't be I don't know.
You are such an	Keep your friends close, keep your enemies closer.
Like you said, Gus can't kill you because of	He knows I won't stand for it.
If you'd been there, you'd know it wasn't a setup.	Wait a minute.
�S�? �S�? �Qu�? I need help to clean.	Yes, s�, �comprendes, s�? �Qu�? No, no, no.
Atr�s, atr�s, �s�? Muy bueno, muy bueno.	Yes, muy bueno.
It's just this-- - No.	No, no, no, no.
Es no problema.	Un momento, un momento, un momento.
Un momento, un momento.	Un momento, un momento.
Yo necesito ayuda, uh limpio dos horas m�ximo.	No, no podemos.
I'll tell you what.	I'll tell you what.
�Para usted? S�, s�, s�.	Para usted, s�.
Oh, your first attempt being such a wild success.	You may know this whole P.
What are you doing? Digging.	Why? Uh, you know why.
How deep are you going? I don't know.	How deep do you think it is? Pretty deep.
Hey, uh, mind if I use your john? Yeah.	Tucker! Tucker! Tucker! Who the hell are you? I-- Hey.
Trouble? Trouble? What does that mean, trouble? No, no.	I'm just saying we're cool, okay? We're-- We're-- We're good.
Ustedes, uh, residar �cerca aqu�? I missed that one.	I'm sure it was good.
Why? What bus? One that takes them back to Honduras.	Hey, wait a second.
Wait a minute.	Th-Th-This was my idea.
Don't punish them.	You tell Gus to blame me, not them.
So that's yours, huh? Yeah.	Dad got it for me.
It goes back tomorrow.	Skyler, it will crush him.
I just worry that he'll blame you for this.	Oh, he will.
Which they did.	"Ready to talk?" Jesse? What about you? No judgments.
Tim stopped by.	He brought over some file boxes on that case.
That car contradicts our story.	It goes back tomorrow.
Came out of nowhere.	You gotta help us.
Look at all this damn water.	Don't drink that.
Ain't no telling what's gonna be poison.	How's Junior? Oh, exactly what I expected.
They didn't want to take it.	What? It's in perfect condition.
Call me if there's a problem.	And please, just don't- don't tangle with anyone.
I need a cab.	Yes, thank you.
The name is White.	Uh, I'm at the Pavilion parking lot on University.
Oh, yes, that's right.	Just south of the airport.
Oh, how long do you think that would take.	No, I'm sure he'll see me.
That means your record stays clean.	The wife never finds out.
I've been working magic here.	I can at least get an "attaboy.
And we're sure about this.	'Cause Pinkman ss he needs you too much.
" Unless you could help me find a third party.	What third party? Someone who can ameliorate the situation.
" All I would need is a phone number.	I would do the rest.
Saul, there'd be a finder's fee.	A big one.
He's still scared the dude's gonna come break his legs.	So I give him the latest.
I'll do it.	You'll do what? I'll kill him first chance I
He's got a long way to go, but he- Yeah.	I mean- - Oh, hey.
Give or take.	Give or take? - Yeah.
I haven't counted it.	Wait And this is how often? Every two weeks.
That could take years.	So set some aside.
I just didn't expect this amount of money.	The 50s are gonna be a problem.
Well, that's what this is- Problem solving.	Skyler, this is a simple division of labor.
I bring in the money, you launder the money.	This is what you wanted.
I never wanted any of this.	I've got to go.
Keep it with you.	When you have the opportunity, be ready.
Could use the exercise.	Get he blood pumping.
Don't worry, you're not gonna have to pick me up.	It might take me a while, but I'll get there.
Jesus, ain't we a pair? You must really like chicken.	V-8, 470 horses, satellite radio, Bluetooth, Whoa.
Good to see you.	Walter Junior, do you remember Mr.
Fring? - How are you? - Well.	Nice to see you again.
It's a pleasure to see you here.	You're looking very well.
Uh, I don't know about this one.	He might eat up all your profits.
Take a Diet Coke.	Thank you very much.
The order of the day is eyes open, mouth shut.	S'up? Test, test.
You know how to make coffee? Sure.	There you go.
I don't have an extra holster.	You stick this in your pocket.
Keep it out of sight.	If you're gonna be here today, you're gonna have a
A lot of	Nobody's asking you to give up yours.
You got something of mine? Glove box.	Figure I better teach you how to
Long time, no see.	How you doing? Yeah, you know, uh good.
"I'm such an asshhole.	" "It's totally hopeless.
He- He was just scared, and then he was gone.	He was suffering.
It was a kindness.	No, he wasn't sick.
On the bottom, right- right there.	It's been a week.
Hey-hey-hey, buddy! - Hey.	Look at that.
Graduated to doorman.	Finally found your calling.
Oh, thanks, Steve.	Good to see you.
How you doing? - He's doing fine.	We, uh, we can take it from here.
Right, Gomie? - Yeah.	If you want to hold his elbow.
No, no, no, no.	You keep your mitts off me.
Maybe he's got the connections, too.	Maybe, just maybe he's our guy.
Please I fear for my family.	I'm sure they'll be fine.
I am told the assassin that survived is gravely injured.	It's doubtful he'll live.
Now thank me and shake my hand.	Uh, thank you.
Thank you again.	You're quite welcome, Mr.
Burn in hell, you piece of shit.	One suspected gun died at the
I can give you highlights.	Your nephews grew impatient.
This is what comes of blood for blood, Hector.	Sangre por sangre.
This is the PET/CT scan.	Positron emission tomography.
I'm still pretty new at this.	I mean, one minute I'm starting a new business.
Excuse me? Never give up control.	Live life on your own terms.
It's what they keep telling me.	Well, guess what.
But until then, who's in charge? Me.	That's how I live my life.
How's Kathi? Much better, thank you.	And you know Hank Schrader.
Ah, yes, indeed.	And Steve Gomez.
Well, should we get started? Yeah.	I'd like to record this conversation, if that's okay.
But then again I have no idea why I'm here.	So you wish to continue? Please.
Really? That's surprising.	A drug-related homicide.
Gale Boetticher's apartment.	So you knew the victim.
Gale was a recipient of this scholarship.	He was, uh, perhaps one of three dozen.
Drug related, you said? It's a good possibility.	The paper made no mention of that.
I was there from 7 to about 10.	Anyone else? Uh, sorry, yeah.
Well, really, it isn't.	General Pinochet's government was guilty of a great many sins.
First and foremost were his human rights abuses.	But it was also notoriously unreliable at keeping records.
I think that's it, Gus.	Uh, thank you.
I hope that I was of some small help.	You were, absolutely.
Well, I agree.	I think it was a good story.
You kidding me? That's a great deal.	Uh, speaking of which, ahem.
Hey, champ, how's the new school? Good.	I loved school when I was your age.
You got it.	So is he-- How's he doing? Jesse? He's good.
He's, uh he's busy.	How is it? Oh, there's space, lots of light.
I guess I am.	Actually, I'm thinking about making a move up to management.
Corporate America, look out.	Oh, excuse me.
Just a dead end.	He won't tell me, either.
I mean, nothing fancy.	Just entry-level beryls and garnets, one passable black tourmaline.
Yeah, the-- the Fun Run guy.	Yeah, that-- that guy-- Yeah.
It made me keep at it.	And guess what I find.
I mean, he's got reasons for everything.	This guy is Terms of Endearment convincing.
Something deep down says he's my guy.	Just got to prove it.
You stick this on the car.	This part right here? It's a magnet.
It's our little secret.	Look, it's easy, okay? Here's what you do.
Where's my soda? Just kidding.	Let's-- Let's go.
I will make sure that he discovers nothing.	Jesse! What? All right.
Ah, yeah, yeah, I got it.	Your brother-in-law, okay? I'm thinking.
He's relentless, all right? He won't quit.	Yeah, well, he's got nothing is all I can say.
Okay? Hank already knows who you are, by the way.	And besides, you actually did kill Gale, so there's
Well, then insist on it, damn it! Act panicked.	Gus' ass is on the line, And trust me.
You know what? Whatever, man.	I'm going to take a piss.
Uh, I think you got a phone call.	Anything important? Yes? I did some digging around.
DEA agent Schrader-- uh, he's a concern.	He's looking into my past.
Is today the day, Hector? Si.	Look at me, Hector.
Look at me.	Maybe next time.
I got it, I got it.	Just-- You're like a bee at a damn picnic, Marie.
We'll use the drive-through.	All right, baby.
Let's see what we got.	What the hell? Look at this.
Bom, bom, bom, bom, bom.	That's work, that's home, that's work, that's home.
Thank you so much.	If you would, I would appreciate it.
What do you do after work? Go home, watch TV.	What do you watch? I don't know.
Ice Road Truckers.	What happens on that one? Guys drive on ice.
I am going to do it.	You got to inhale, by the way.
But no more than five years old.	Air bags, safety rated, all that.
Uh It's not far from town.	The place is huge.
Lots of space to hide illicit activity.	Sounds promising, right? Huh.
Um I mean, it sounds great.	It really does.
Yeah, yeah, yeah.	I get it.
Hey, don't be.	I've been asking a lot of you lately.
I appreciate it.	I'll find another ride for this one.
Another ride? Yeah.	I'm sure I can get someone else to take me.
Uh, my trainer, Chuck.	Maybe I'll ask him.
Look, I'm-- I'm-- This is probably just a 24-hour thing.	Maybe 48 hours, at the most.
Oh, and SUVs are extra.	And please give this to your car care professional.
Well, uh Hello.	You look great.
Not at all.	You look happy.
It most certainly is.	Look, here's the thing.
The damage is already-- My name.	My signatures are all over those books.
I can't have this in my life.	I cannot be audited.
He'd never cook for Gus again.	Guess there's a lot of angles to consider.
Son of a bitch!	You get comfortable, kid.
Get down! S�.	Should I even ask? - I wouldn't.
I don't want you talking to me or Jesse.	Just get the barrel.
His distribution network.	They're not looking to kill
You got questions, ask him yourself.	And here again.
That's why we're here.	Oh, I am so sorry I am late.
Revenue most definitely flowed through this company.	But it's not all accounted for in your reports.
How gross income for a business is defined.	You're not allowed to do that.
Well, I think I am.	No, you're not.
Got a good instinct for them.	Right, Teddy? Right.
I'm a cashier at a car wash.	I'm not really clear about what happened in there.
What happened is good news.	Ignorance of the law does not equate to criminality.
Just put it behind you.	Pay with what? I owe them $617,000.
What am I-- - Look, just figure it out.	All right? You just dodged prison.
Take a mortgage? I have a lien on my house.	I don't have any assets.
You have to settle.	Wish I could.
We'll eat first.	And then we'll talk.
And I will explain everything that's happening.	I will answer your questions.
Can you produce this product? Without any help, alone? No.	Why? You asking me if I can cook Mr.
That is not what I asked you.	You are here because circumstances with the cartel are untenable.
And I need your help.	I need you to help prevent an all-out
Now, if you would, answer the question.	Hey, you, uh-- You headed out? Yeah.
So you saw Gus? What? No.	You didn't see Gus.
They-- So "they" doesn't include Gus.	You haven't been with Gus.
You haven't seen Gus.	You haven't spoken to Gus.
Why are you You weren't at Gus's house last night.	What? What the hell? J-Jesus-- It's still here.
I cannot be audited.	Circumstances with the cartel are untenable.
And I need your help.	No one needs to go to Mexico.
The cartel wants your formula.	Now get the fuck out of here and never come
You can do this.	You have reached Walter White.
I-- I don't really understand why I'm here.	Is it something to do with my creditors? Creditors? No.
Beneke, I have some bad news.	Uh nothing but, lately.
That's how I know how to do it.	What is he saying? We're working it out.
So you understand what asshole	Now, go get me my phenylacetic acid,
Several hours at least.	I can wait.
Are you okay? I know you're home.	Your car is here.
I don't know what else to do.	Dad?  Come in if you're coming in.
Don't do that.	Look, I-- I appreciate that you're concerned.
And it's my own fault.	I had it coming.
Dad, it's okay.	It's all my fault.
Dad, it's okay.	Hey-- Hey-- It's okay.
Please, it's-- it's okay.	Look at me.
Hey, how was your birthday? Good.	Get some rest.
Yeah? What's that mean?	You're staying. You belong to the cartel now.
